,country_name,country_code,2005,2007,2008,2010,2012,2014,continent,sub_region,median_avg,pre_financial,post_financial,recovered_yr,recovered_yr_2014
36,"Congo, Dem. Rep.",COD,2.85,3.31,3.55,4.01,4.49,4.46,Africa,Middle Africa,3.43,0.6999999999999997,-0.45999999999999996,-0.9400000000000004,-0.9100000000000001
37,"Congo, Rep.",COG,19.8,20.03,19.98,20.07,20.18,20.31,Africa,Middle Africa,20.01,0.17999999999999972,-0.08999999999999986,-0.1999999999999993,-0.3299999999999983
38,Costa Rica,CRI,6.57,4.49,4.78,7.17,9.78,9.06,Americas,Central America,4.64,-1.79,-2.3899999999999997,-4.999999999999999,-4.28
39,Cote d'Ivoire,CIV,5.69,6.14,6.37,6.84,7.22,3.7,Africa,Western Africa,6.26,0.6799999999999997,-0.46999999999999975,-0.8499999999999996,2.67
40,Croatia,HRV,12.6,9.91,8.53,11.62,15.93,17.29,Europe,Southern Europe,9.22,-4.07,-3.09,-7.4,-8.76
41,Cuba,CUB,1.95,1.79,1.58,2.5,3.46,2.7,Americas,Caribbean,1.68,-0.3699999999999999,-0.9199999999999999,-1.88,-1.12
42,Cyprus,CYP,5.3,3.92,3.65,6.26,11.8,16.09,Asia,Western Asia,3.78,-1.65,-2.61,-8.15,-12.44
43,Czech Republic,CZE,7.93,5.32,4.39,7.28,6.98,6.11,Europe,Eastern Europe,4.86,-3.54,-2.8900000000000006,-2.5900000000000007,-1.7200000000000006
44,Denmark,DNK,4.83,3.8,3.68,7.75,7.8,6.93,Europe,Northern Europe,3.74,-1.15,-4.07,-4.119999999999999,-3.2499999999999996
45,Djibouti,DJI,27.72,27.44,27.31,27.06,26.78,26.48,Africa,Eastern Africa,27.38,-0.41000000000000014,0.25,0.5299999999999976,0.8299999999999983
46,Dominican Republic,DOM,6.59,5.16,4.76,5.21,6.72,6.72,Americas,Caribbean,4.96,-1.83,-0.4500000000000002,-1.96,-1.96
47,Ecuador,ECU,3.78,3.14,3.92,4.09,3.23,3.48,Americas,South America,3.53,0.14000000000000012,-0.16999999999999993,0.69,0.43999999999999995
48,"Egypt, Arab Rep.",EGY,11.2,8.8,8.52,8.76,12.6,13.1,Africa,Northern Africa,8.66,-2.6799999999999997,-0.2400000000000002,-4.08,-4.58
49,El Salvador,SLV,7.22,6.41,5.88,4.89,3.84,4.15,Americas,Central America,6.14,-1.3399999999999999,0.9900000000000002,2.04,1.7299999999999995
50,Equatorial Guinea,GNQ,8.75,8.65,8.5,8.82,8.61,8.48,Africa,Middle Africa,8.57,-0.25,-0.3200000000000003,-0.10999999999999943,0.019999999999999574
51,Eritrea,ERI,5.26,5.25,5.17,5.49,5.53,5.67,Africa,Eastern Africa,5.21,-0.08999999999999986,-0.3200000000000003,-0.3600000000000003,-0.5
52,Estonia,EST,8.03,4.59,5.45,16.71,10.02,7.35,Europe,Northern Europe,5.02,-2.579999999999999,-11.260000000000002,-4.569999999999999,-1.8999999999999995
53,Eswatini,SWZ,27.07,28.24,27.68,26.41,25.15,23.97,Africa,Southern Africa,27.96,0.6099999999999994,1.2699999999999996,2.530000000000001,3.710000000000001
54,Ethiopia,ETH,2.5,2.43,2.41,2.34,2.29,2.26,Africa,Eastern Africa,2.42,-0.08999999999999986,0.07000000000000028,0.1200000000000001,0.15000000000000036
55,Fiji,FJI,3.89,4.11,4.16,4.31,4.42,4.29,Oceania,Melanesia,4.14,0.27,-0.14999999999999947,-0.2599999999999998,-0.1299999999999999
56,Finland,FIN,8.38,6.85,6.37,8.39,7.69,8.66,Europe,Northern Europe,6.61,-2.0100000000000007,-2.0200000000000005,-1.3200000000000003,-2.29
