,country_name,country_code,2005,2007,2008,2010,2012,2014,continent,sub_region,median_avg,pre_financial,post_financial,recovered_yr,recovered_yr_2014
158,Sweden,SWE,7.49,6.16,6.23,8.61,7.98,7.95,Europe,Northern Europe,6.2,-1.2599999999999998,-2.379999999999999,-1.75,-1.7199999999999998
159,Switzerland,CHE,4.44,3.65,3.35,4.8,4.48,4.83,Europe,Western Europe,3.5,-1.0900000000000003,-1.4499999999999997,-1.1300000000000003,-1.48
160,Syrian Arab Republic,SYR,8.85,8.42,10.94,8.61,8.81,8.72,Asia,Western Asia,9.68,2.09,2.33,2.129999999999999,2.219999999999999
161,Tajikistan,TJK,13.13,12.37,11.98,10.89,9.58,8.23,Asia,Central Asia,12.18,-1.1500000000000004,1.0899999999999999,2.4000000000000004,3.75
162,Tanzania,TZA,3.23,3.03,2.77,2.99,3.23,2.12,Africa,Eastern Africa,2.9,-0.45999999999999996,-0.2200000000000002,-0.45999999999999996,0.6499999999999999
163,Thailand,THA,1.35,1.18,1.18,0.62,0.58,0.58,Asia,South-Eastern Asia,1.18,-0.17000000000000015,0.5599999999999999,0.6,0.6
164,Timor-Leste,TLS,3.44,3.34,3.32,3.3,3.76,4.21,Asia,South-Eastern Asia,3.33,-0.1200000000000001,0.020000000000000018,-0.43999999999999995,-0.8900000000000001
165,Togo,TGO,4.22,3.8,3.34,2.43,2.03,2.14,Africa,Western Africa,3.57,-0.8799999999999999,0.9099999999999997,1.31,1.1999999999999997
166,Tonga,TON,2.49,1.25,1.35,1.74,2.07,2.37,Oceania,Polynesia,1.3,-1.1400000000000001,-0.3899999999999999,-0.7199999999999998,-1.02
167,Trinidad and Tobago,TTO,7.95,5.54,4.63,4.03,3.72,2.48,Americas,Caribbean,5.08,-3.3200000000000003,0.5999999999999996,0.9099999999999997,2.15
168,Tunisia,TUN,12.87,12.36,12.44,13.05,17.63,15.06,Africa,Northern Africa,12.4,-0.4299999999999997,-0.6100000000000012,-5.1899999999999995,-2.620000000000001
169,Turkiye,TUR,10.64,8.87,9.71,10.66,8.15,9.88,Asia,Western Asia,9.29,-0.9299999999999997,-0.9499999999999993,1.5600000000000005,-0.16999999999999993
170,Turkmenistan,TKM,7.5,5.76,4.95,4.0,4.09,4.14,Asia,Central Asia,5.36,-2.55,0.9500000000000002,0.8600000000000003,0.8100000000000005
171,Uganda,UGA,1.9,2.73,3.15,3.59,3.55,1.91,Africa,Eastern Africa,2.94,1.25,-0.43999999999999995,-0.3999999999999999,1.24
172,Ukraine,UKR,7.18,6.35,6.36,8.1,7.53,9.27,Europe,Eastern Europe,6.36,-0.8199999999999994,-1.7399999999999993,-1.17,-2.9099999999999993
173,United Arab Emirates,ARE,3.12,2.87,2.74,2.48,2.18,1.91,Asia,Western Asia,2.8,-0.3799999999999999,0.26000000000000023,0.56,0.8300000000000003
174,United Kingdom,GBR,4.75,5.26,5.62,7.79,7.88,6.11,Europe,Northern Europe,5.44,0.8700000000000001,-2.17,-2.26,-0.4900000000000002
175,United States,USA,5.08,4.62,5.78,9.63,8.07,6.17,Americas,Northern America,5.2,0.7000000000000002,-3.8500000000000005,-2.29,-0.3899999999999997
176,Uruguay,URY,12.01,9.4,8.03,7.16,6.45,6.55,Americas,South America,8.72,-3.9800000000000004,0.8699999999999992,1.5799999999999992,1.4799999999999995
177,Uzbekistan,UZB,7.09,4.99,4.89,5.4,4.9,5.1,Asia,Central Asia,4.94,-2.2,-0.5100000000000007,-0.010000000000000675,-0.20999999999999996
178,Vanuatu,VUT,1.73,1.79,1.75,1.85,1.85,1.81,Oceania,Melanesia,1.77,0.020000000000000018,-0.10000000000000009,-0.10000000000000009,-0.06000000000000005
179,"Venezuela, RB",VEN,10.66,7.28,6.25,7.11,6.6,6.86,Americas,South America,6.76,-4.41,-0.8600000000000003,-0.34999999999999964,-0.6100000000000003
180,Vietnam,VNM,2.1,2.03,1.93,1.11,1.03,1.26,Asia,South-Eastern Asia,1.98,-0.17000000000000015,0.8199999999999998,0.8999999999999999,0.6699999999999999
181,Virgin Islands (U.S.),VIR,10.96,10.19,10.31,11.73,12.23,12.79,Americas,Caribbean,10.25,-0.6500000000000004,-1.42,-1.92,-2.4799999999999986
182,West Bank and Gaza,PSE,20.02,18.28,22.91,21.42,19.2,20.53,Asia,Western Asia,20.6,2.8900000000000006,1.4899999999999984,3.710000000000001,2.379999999999999
183,"Yemen, Rep.",YEM,12.21,12.49,12.62,12.83,13.17,13.47,Asia,Western Asia,12.56,0.40999999999999837,-0.21000000000000085,-0.5500000000000007,-0.8500000000000014
184,Zambia,ZMB,15.9,10.59,7.93,13.19,7.85,9.36,Africa,Eastern Africa,9.26,-7.970000000000001,-5.26,0.08000000000000007,-1.4299999999999997
185,Zimbabwe,ZWE,4.54,4.83,5.01,5.21,5.15,4.77,Africa,Eastern Africa,4.92,0.46999999999999975,-0.20000000000000018,-0.14000000000000057,0.2400000000000002
