,country,11-12,12-13,13-14,14-15,15-16,16-17,18-19,19-20,20-21,Good,Bad
23,Bulgaria,-1.01,-0.67,1.52,2.28,1.57,1.41,0.95,0.98,-0.89,0,10
143,Serbia,-1.03,1.85,2.93,1.56,2.4,1.78,0.75,2.34,1.38,0,10
64,Greece,-6.58,-3.03,0.98,1.59,1.36,2.05,2.2,1.98,1.01,0,10
182,West Bank and Gaza,-1.6,-0.69,-0.64,-2.47,-0.94,-1.74,-0.58,0.92,-0.55,0,10
152,Spain,-3.4,-1.3,1.65,2.38,2.43,2.41,1.97,1.15,-1.43,0,10
